ip,port
195.208.172.70,8080
85.93.47.137,8080
62.140.252.72,47766
176.213.142.220,47229
37.123.222.124,8080
85.15.189.121,41033
109.70.189.70,30480
95.79.57.206,53281
82.138.23.141,3128
188.128.87.218,8080
88.204.75.3,8080
195.19.157.195,8080
46.63.162.171,8080
87.103.234.116,3128
82.151.98.218,3128
84.22.139.241,3128
37.77.135.126,44497
94.242.58.14,655
91.221.109.138,3128
91.221.109.136,3128
78.36.140.201,8080
84.201.254.47,3128
217.113.122.142,3128
91.205.239.120,8080
185.190.40.75,8080
88.147.244.124,8080
95.167.177.19,8080
194.67.37.90,3128
213.234.31.127,8080
188.225.9.121,8080
177.73.106.102,4145
177.72.82.8,4145
125.27.10.245,49440
1.20.99.218,33413
64.76.143.10,4145
5.58.56.109,32905
109.238.219.225,4153
128.68.160.16,41654
188.94.225.6,34730
197.216.2.14,8080
197.216.2.9,8080
117.200.48.2,4145
201.217.51.9,4145
167.114.79.139,32537
101.255.36.233,55839
1.20.100.33,47491
1.20.102.87,8080
1.20.99.112,53995
1.179.183.109,8080
1.10.186.181,41345
1.20.97.214,38550
1.20.100.45,51685
1.20.99.61,45051
1.20.99.23,54067
1.20.99.129,8080
1.20.97.122,44279
1.32.59.217,34709
1.10.189.84,35138
103.106.238.230,50941
1.2.169.93,31001
1.179.188.205,58505
1.179.185.249,8080
101.255.85.114,80
167.114.167.143,45204
177.73.107.174,4145
170.245.28.147,4145
191.97.121.25,59040
191.97.121.9,59040
103.91.120.17,40540
170.78.60.126,56328
1.20.100.100,32783
103.229.247.202,40222
114.31.5.34,59965
176.192.65.34,48546
195.210.144.166,32424
110.164.93.100,8080
203.114.106.253,8080
85.207.251.5,35416
111.223.75.178,8080
189.201.217.106,4145
177.84.237.94,4145
86.123.166.109,8080
189.17.45.9,4145
212.90.191.41,33519
105.29.78.163,4145
103.250.153.198,59451
202.6.224.51,1080
54.180.187.225,80
212.58.208.235,4145
110.36.233.158,57087
82.147.120.8,40915
103.102.141.11,4145
103.102.216.1,44550
103.102.217.209,44550
41.170.48.74,57797
190.103.80.12,4145
151.106.10.50,1080
101.51.138.9,4145
37.17.38.196,53281
113.161.196.4,35193
144.217.229.159,1080
88.204.154.155,8080
115.79.208.56,50152
41.217.219.53,56990
217.182.77.48,3128
51.77.213.22,3128
41.180.42.114,1080
170.239.212.66,40296
181.112.228.26,57301
181.129.72.83,45154
45.71.75.132,4145
190.109.161.25,36265
103.10.61.107,59733
138.197.157.60,1080
177.84.115.83,4145
101.51.141.23,4153
101.51.141.30,4153
101.51.141.20,4153
37.220.64.82,43145
37.29.126.226,55002
103.10.170.250,49218
207.144.111.230,64312
103.10.61.108,59733
195.53.86.82,3128
195.53.237.122,3128
103.100.79.2,40283
103.102.142.154,4145
81.200.14.150,42670
195.209.176.101,41128
103.52.220.5,58888
102.129.54.254,4145
103.10.170.33,49218
37.53.91.78,61627
177.53.45.69,4145
110.74.196.9,30469
202.61.49.52,36493
102.130.64.30,4145
36.66.188.37,57182
103.10.171.132,31304
193.213.89.72,51024
103.10.61.106,59733
103.10.58.21,4145
142.93.251.20,3128
102.176.88.66,40639
101.51.141.2,4153
101.51.141.81,4153
101.51.141.29,4153
101.51.141.17,4153
101.51.141.122,4153
101.51.141.118,4153
101.51.141.11,4153
41.73.15.246,80
101.51.141.119,31090
101.51.127.145,44550
101.99.36.200,42257
111.223.75.178,8888
102.177.194.26,50989
103.10.171.37,49218
103.10.210.17,44550
190.13.191.74,4145
190.152.17.62,53281
177.152.137.252,53343
103.118.168.195,37760
118.172.201.49,44422
186.42.186.202,51519
105.27.116.46,50470
45.125.66.94,54321
119.82.253.103,61499
119.2.49.118,31002
136.25.2.43,50721
177.84.120.251,42538
182.52.238.44,41103
1.20.100.170,38953
202.142.159.204,31026
190.119.199.18,46515
118.175.93.182,57520
138.97.92.252,3184
138.0.210.114,36796
190.109.170.105,43375
83.143.24.27,38590
163.172.182.164,3128
79.108.207.194,4145
212.72.142.50,43551
95.79.44.89,46958
139.59.61.229,8080
151.237.63.161,42388
188.235.149.170,35426
31.133.121.28,32716
185.116.254.18,4145
199.21.96.4,80
195.9.80.22,4145
138.68.173.29,3128
